date,1. open,2. high,3. low,4. close,5. volume
2018-10-16 10:59:00,6.39,6.39,6.39,6.39,6485.0
2018-10-16 11:00:00,6.4,6.4,6.4,6.4,9872.0
2018-10-16 11:01:00,6.395,6.395,6.395,6.395,3680.0
2018-10-16 11:02:00,6.39,6.39,6.39,6.39,5005.0
2018-10-16 11:03:00,6.4,6.4,6.4,6.4,1353.0
2018-10-16 11:04:00,6.4,6.4,6.4,6.4,3205.0
2018-10-16 11:05:00,6.4,6.4,6.4,6.4,2418.0
2018-10-16 11:06:00,6.395,6.395,6.395,6.395,5850.0
2018-10-16 11:07:00,6.4,6.4,6.4,6.4,2860.0
2018-10-16 11:08:00,6.4,6.4,6.4,6.4,2216.0
2018-10-16 11:09:00,6.4,6.4,6.4,6.4,44836.0
2018-10-16 11:10:00,6.4,6.4,6.4,6.4,1737.0
2018-10-16 11:11:00,6.395,6.395,6.395,6.395,3840.0
2018-10-16 11:12:00,6.4,6.4,6.4,6.4,2158.0
2018-10-16 11:13:00,6.395,6.4,6.395,6.395,85213.0
2018-10-16 11:14:00,6.4,6.4,6.4,6.4,15140.0
2018-10-16 11:15:00,6.4,6.4,6.395,6.395,7821.0
2018-10-16 11:16:00,6.39,6.39,6.39,6.39,915.0
2018-10-16 11:17:00,6.3979,6.3979,6.3979,6.3979,3241.0
2018-10-16 11:18:00,6.4,6.4,6.4,6.4,59802.0
2018-10-16 11:19:00,6.41,6.41,6.41,6.41,15346.0
2018-10-16 11:20:00,6.42,6.42,6.42,6.42,19387.0
2018-10-16 11:21:00,6.42,6.42,6.42,6.42,3199.0
2018-10-16 11:22:00,6.415,6.415,6.415,6.415,5879.0
2018-10-16 11:23:00,6.41,6.41,6.41,6.41,3495.0
2018-10-16 11:24:00,6.42,6.425,6.42,6.425,41230.0
2018-10-16 11:25:00,6.43,6.43,6.43,6.43,7468.0
2018-10-16 11:26:00,6.42,6.43,6.42,6.43,9727.0
2018-10-16 11:27:00,6.425,6.425,6.42,6.42,78070.0
2018-10-16 11:28:00,6.41,6.41,6.41,6.41,5426.0
2018-10-16 11:29:00,6.41,6.41,6.41,6.41,108.0
2018-10-16 11:30:00,6.415,6.415,6.415,6.415,5336.0
2018-10-16 11:31:00,6.41,6.41,6.41,6.41,10813.0
2018-10-16 11:32:00,6.4,6.4,6.4,6.4,2152.0
2018-10-16 11:33:00,6.4,6.4,6.4,6.4,12119.0
2018-10-16 11:34:00,6.4,6.4,6.4,6.4,13578.0
2018-10-16 11:35:00,6.4,6.4,6.4,6.4,2202.0
